package,old,new,delta
WeibullR.shiny,0.2.1,0.3,*
askpass,NA,1.2.1,*
bslib,NA,0.8.0,*
colorspace,NA,2.1-1,*
commonmark,NA,1.9.2,*
cpp11,NA,0.5.0,*
curl,NA,6.0.0,*
data.table,NA,1.16.2,*
digest,NA,0.6.37,*
evaluate,NA,1.0.1,*
fs,NA,1.6.5,*
glue,NA,1.8.0,*
gtable,NA,0.3.6,*
jsonlite,NA,1.8.9,*
knitr,NA,1.49,*
openssl,NA,2.2.2,*
Rcpp,NA,1.0.13-1,*
RcppArmadillo,NA,14.0.2-1,*
rmarkdown,NA,2.29,*
segmented,NA,2.1-3,*
shiny,NA,1.9.1,*
sys,NA,3.4.3,*
tinytex,NA,0.54,*
withr,NA,3.0.2,*
xfun,NA,0.49,*
yaml,NA,2.3.10,*
